tol:0.00289+-0.00697i 0.00207+-0.005i 
er:-0.00144+0.00144i -0.00313+0.00313i 
tol:0.00289+-0.00698i 0.00207+-0.005i 
er:-0.00145+0.00145i -0.00313+0.00313i 
tol:0.0029+-0.00699i 0.00207+-0.00501i 
er:-0.00146+0.00146i -0.00313+0.00313i 
tol:0.0029+-0.007i 0.00208+-0.00501i 
er:-0.00146+0.00146i -0.00313+0.00313i 
tol:0.00291+-0.00702i 0.00208+-0.00501i 
er:-0.00147+0.00147i -0.00313+0.00313i 
tol:0.00291+-0.00703i 0.00208+-0.00502i 
er:-0.00148+0.00148i -0.00314+0.00314i 
tol:0.00292+-0.00704i 0.00208+-0.00502i 
er:-0.00149+0.00149i -0.00314+0.00314i 
tol:0.00292+-0.00705i 0.00208+-0.00502i 
er:-0.00149+0.00149i -0.00314+0.00314i 
tol:0.00293+-0.00706i 0.00208+-0.00503i 
er:-0.0015+0.0015i -0.00314+0.00314i 
tol:0.00293+-0.00707i 0.00208+-0.00503i 
er:-0.00151+0.00151i -0.00314+0.00314i 
tol:0.00294+-0.00709i 0.00208+-0.00503i 
er:-0.00152+0.00152i -0.00314+0.00314i 
tol:0.00294+-0.0071i 0.00209+-0.00504i 
er:-0.00152+0.00152i -0.00315+0.00315i 
tol:0.00295+-0.00711i 0.00209+-0.00504i 
er:-0.00153+0.00153i -0.00315+0.00315i 
tol:0.00295+-0.00712i 0.00209+-0.00504i 
er:-0.00154+0.00154i -0.00315+0.00315i 
tol:0.00296+-0.00713i 0.00209+-0.00505i 
er:-0.00155+0.00155i -0.00315+0.00315i 
tol:0.00296+-0.00714i 0.00209+-0.00505i 
er:-0.00155+0.00155i -0.00315+0.00315i 
tol:0.00296+-0.00716i 0.00209+-0.00505i 
er:-0.00156+0.00156i -0.00316+0.00316i 
tol:0.00297+-0.00717i 0.00209+-0.00506i 
er:-0.00157+0.00157i -0.00316+0.00316i 
tol:0.00297+-0.00718i 0.0021+-0.00506i 
er:-0.00158+0.00158i -0.00316+0.00316i 
tol:0.00298+-0.00719i 0.0021+-0.00506i 
er:-0.00159+0.00159i -0.00316+0.00316i 
tol:0.00298+-0.0072i 0.0021+-0.00507i 
